"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"男性","30至39歲","大學及以上","雲嘉南區","本省閩南人","03","03","05",2,2.02293611596209,0.000755001887504719,0.00076651684281016,"男性 | 30至39歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 03 | 03 | 05"
"男性","30至39歲","大學及以上","高屏區","本省閩南人","05","05","05",2,2.89737801837458,0.000755001887504719,0.00109785426912298,"男性 | 30至39歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","專科","中彰投區","本省閩南人","05","05","05",2,2.54108813672278,0.000755001887504719,0.000962851392337095,"男性 | 30至39歲 | 專科 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","高中、職","中彰投區","本省閩南人","05","05","05",2,3.26801750019807,0.000755001887504719,0.00123829439631553,"男性 | 30至39歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","高中、職","雲嘉南區","本省閩南人","05","05","05",2,2.815750730061,0.000755001887504719,0.00106692462639646,"男性 | 30至39歲 | 高中、職 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","30至39歲","高中、職","高屏區","本省閩南人","05","05","05",2,4.03289763138213,0.000755001887504719,0.0015281174404825,"男性 | 30至39歲 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","大學及以上","中彰投區","本省閩南人","00","08","00",2,1.74850056050921,0.000755001887504719,0.000662529636362689,"男性 | 40至49歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 00 | 08 | 00"
"男性","40至49歲","大學及以上","中彰投區","本省閩南人","05","03","05",2,1.74850056050921,0.000755001887504719,0.000662529636362689,"男性 | 40至49歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 05 | 03 | 05"
"男性","40至49歲","大學及以上","中彰投區","本省閩南人","07","03","06",2,1.74850056050921,0.000755001887504719,0.000662529636362689,"男性 | 40至49歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 07 | 03 | 06"
"男性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","03","01","06",2,1.70760153133264,0.000755001887504719,0.000647032461503306,"男性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 03 | 01 | 06"
"男性","40至49歲","大學及以上","桃竹苗區","本省客家人","04","03","05",2,1.60762713277838,0.000755001887504719,0.000609150859737939,"男性 | 40至49歲 | 大學及以上 | 桃竹苗區 | 本省客家人 | 04 | 03 | 05"
"男性","40至49歲","大學及以上","雲嘉南區","本省閩南人","05","05","05",2,1.50652244960973,0.000755001887504719,0.000570840978410374,"男性 | 40至49歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","40至49歲","專科","雲嘉南區","本省閩南人","05","05","05",2,1.63050824878032,0.000755001887504719,0.000617820812614548,"男性 | 40至49歲 | 專科 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
